;Municipio;Total;Hombres-T;Mujeres-T;Indeterminado-T;Hombres-Cm;Mujeres-Cm;Indeterminado-Cm;Hombres-Cp;Mujeres-Cp;Indeterminado-Cp;Hombres-Rd;Mujeres-Rd;Indeterminado-Rd;Hombres-Si;Mujeres-Si;Indeterminado-Si;Año
1;Total;19193;9901;9292;0;5830;5492;0;564;546;0;3357;3106;0;150;148;0;2008
2;15001 TUNJA;2975;1590;1385;0;1457;1293;0;0;0;0;117;80;0;16;12;0;2008
3;15022 ALMEIDA;20;8;12;0;0;2;0;0;0;0;7;10;0;1;0;0;2008
4;15047 AQUITANIA;303;156;147;0;47;47;0;32;40;0;72;56;0;5;4;0;2008
5;15051 ARCABUCO;84;53;31;0;25;12;0;0;0;0;28;19;0;0;0;0;2008
6;15087 BELÉN;149;68;81;0;40;34;0;2;9;0;26;37;0;0;1;0;2008
7;15090 BERBEO;21;8;13;0;4;2;0;0;0;0;4;11;0;0;0;0;2008
8;15092 BETÉITIVA;32;19;13;0;5;4;0;3;4;0;9;5;0;2;0;0;2008
9;15097 BOAVITA;50;25;25;0;7;8;0;5;4;0;13;13;0;0;0;0;2008
10;15104 BOYACÁ;98;50;48;0;6;10;0;0;0;0;43;38;0;1;0;0;2008
11;15106 BRICEÑO;42;21;21;0;6;4;0;0;0;0;15;17;0;0;0;0;2008
12;15109 BUENAVISTA;64;34;30;0;6;4;0;3;1;0;25;24;0;0;1;0;2008
13;15114 BUSBANZÁ;8;5;3;0;2;2;0;0;0;0;3;0;0;0;1;0;2008
14;15131 CALDAS;51;24;27;0;0;2;0;6;12;0;18;13;0;0;0;0;2008
15;15135 CAMPOHERMOSO;31;18;13;0;3;3;0;1;2;0;13;8;0;1;0;0;2008
16;15162 CERINZA;52;26;26;0;12;9;0;0;0;0;14;17;0;0;0;0;2008
17;15172 CHINAVITA;39;18;21;0;7;12;0;0;0;0;10;9;0;1;0;0;2008
18;15176 CHIQUINQUIRÁ;1023;533;490;0;442;418;0;0;4;0;79;56;0;12;12;0;2008
19;15180 CHISCAS;64;35;29;0;11;9;0;6;6;0;17;10;0;1;4;0;2008
20;15183 CHITA;116;56;60;0;11;13;0;16;14;0;28;33;0;1;0;0;2008
21;15185 CHITARAQUE;88;45;43;0;7;4;0;5;8;0;33;31;0;0;0;0;2008
22;15187 CHIVATÁ;45;22;23;0;7;5;0;0;0;0;15;18;0;0;0;0;2008
23;15189 CIÉNEGA;80;44;36;0;7;11;0;0;0;0;35;24;0;2;1;0;2008
24;15204 CÓMBITA;163;84;79;0;11;12;0;15;14;0;58;53;0;0;0;0;2008
25;15212 COPER;52;16;36;0;3;13;0;6;12;0;6;9;0;1;2;0;2008
26;15215 CORRALES;32;12;20;0;11;10;0;0;0;0;1;9;0;0;1;0;2008
27;15218 COVARACHÍA;35;13;22;0;3;8;0;6;9;0;4;5;0;0;0;0;2008
28;15223 CUBARÁ;124;63;61;0;20;28;0;14;4;0;29;28;0;0;1;0;2008
29;15224 CUCAITA;97;53;44;0;19;20;0;0;0;0;31;19;0;3;5;0;2008
30;15226 CUÍTIVA;28;16;12;0;0;1;0;5;4;0;11;7;0;0;0;0;2008
31;15232 CHÍQUIZA;88;46;42;0;6;1;0;19;19;0;19;22;0;2;0;0;2008
32;15236 CHIVOR;23;11;12;0;5;3;0;0;0;0;5;9;0;1;0;0;2008
33;15238 DUITAMA;1889;997;892;0;868;780;0;30;30;0;96;77;0;3;5;0;2008
34;15244 EL COCUY;93;41;52;0;22;19;0;0;0;0;19;33;0;0;0;0;2008
35;15248 EL ESPINO;28;10;18;0;5;8;0;3;5;0;2;5;0;0;0;0;2008
36;15272 FIRAVITOBA;83;44;39;0;17;17;0;0;0;0;27;22;0;0;0;0;2008
37;15276 FLORESTA;42;20;22;0;6;8;0;6;3;0;7;11;0;1;0;0;2008
38;15293 GACHANTIVÁ;42;20;22;0;5;5;0;0;0;0;15;17;0;0;0;0;2008
