Año; 0 A 4 Años; 5 A 9 Años; 10 A 14 Años; 15 A 19 Años; 20 A 24 Años; 25 A 29 Años; 30 A 34 Años; 35 A 39 Años; 40 A 44 Años; 45 A 49 Años; 50 A 54 Años; 55 A 59 Años; 60 A 64 Años; 65 A 69 Años; 70 A 74 Años; 75 A 79 Años; 80 A 84 Años; 85 A 89 Años; 90 A 94 Años; 95 A 99 Años; 100 o mas Años;Hombres 
2005;63088;65789;65911;61317;51696;45519;41621;40348;37094;32592;27462;22983;18390;17076;13462;10031;5325;2589;753;153;37;623236
2006;61315;64452;65237;61296;51661;45354;41476;40172;37512;33287;28202;23631;18759;16929;13818;10211;5451;2624;756;145;32;622320
2007;59624;63065;64430;61155;51695;45128;41466;39860;37873;33914;28974;24225;19337;16681;14088;10441;5588;2704;760;144;27;621179
2008;58023;61662;63478;60917;51735;44878;41557;39507;38142;34484;29739;24803;20036;16464;14251;10523;5972;2733;808;142;22;619876
2009;56517;60265;62398;60565;51728;44668;41688;39232;38267;34995;30487;25417;20730;16420;14311;10655;6343;2746;839;149;22;618442
2010;55087;58879;61229;60094;51623;44561;41776;39104;38261;35441;31170;26096;21372;16605;14272;10493;6804;2855;970;164;23;616879
2011;53846;57385;59971;59512;51426;44473;41829;39098;38156;35805;31812;26797;21992;16966;14171;10709;6925;2984;1035;177;26;615095
2012;52618;55903;58705;58773;51178;44369;41804;39234;37961;36099;32377;27528;22588;17474;14037;10860;7055;3145;1111;190;28;613037
2013;51361;54447;57438;57880;50922;44218;41731;39468;37736;36316;32897;28227;23193;18066;13954;10941;7115;3407;1163;229;29;610738
2014;50032;52984;56224;56835;50651;43994;41625;39752;37592;36417;33357;28916;23820;18663;14013;10952;7201;3633;1235;255;33;608184
2015;48577;51491;55047;55738;50332;43682;41535;40023;37602;36439;33726;29554;24489;19271;14221;10912;7134;3904;1320;353;38;605388
2016;46943;50052;53831;54637;49996;43364;41422;40296;37757;36440;34016;30180;25168;19889;14556;10856;7238;3994;1436;408;44;602523
2017;44885;48542;52620;53603;49535;43119;41261;40534;38088;36402;34264;30721;25892;20515;14975;10825;7298;4067;1585;470;47;599248
2018;37189;42957;49547;52894;46268;39575;37725;38714;35524;33915;32402;29279;24722;19871;14399;11139;7298;3921;1317;304;124;559084
