Año; 0 A 4 Años; 5 A 9 Años; 10 A 14 Años; 15 A 19 Años; 20 A 24 Años; 25 A 29 Años; 30 A 34 Años; 35 A 39 Años; 40 A 44 Años; 45 A 49 Años; 50 A 54 Años; 55 A 59 Años; 60 A 64 Años; 65 A 69 Años; 70 A 74 Años; 75 A 79 Años; 80 A 84 Años; 85 A 89 Años; 90 A 94 Años; 95 A 99 Años; 100 o mas Años;Total
2005;59627;61341;61180;57583;50253;45301;42639;42460;39393;34764;29285;24741;20318;19076;15183;11650;6681;3560;1206;272;44;626557
2006;58118;60340;60789;57343;49863;45262;42558;42341;39912;35573;30151;25398;20655;18903;15659;11970;6954;3728;1259;269;46;627091
2007;56656;59182;60298;57175;49434;45178;42586;42079;40373;36307;31048;26037;21214;18636;16036;12322;7229;3955;1304;276;45;627370
2008;55249;57928;59646;57044;49002;45068;42685;41756;40741;36983;31949;26692;21908;18414;16232;12517;7784;4096;1413;282;41;627430
2009;53894;56628;58813;56880;48663;44912;42806;41490;40980;37588;32827;27404;22627;18383;16309;12751;8325;4159;1530;303;42;627314
2010;52584;55323;57806;56629;48394;44731;42923;41346;41057;38141;33658;28186;23319;18591;16289;12605;8917;4385;1747;339;49;627019
2011;51388;53967;56623;56267;48189;44496;43032;41304;41002;38608;34429;29040;23996;18985;16223;12885;9109;4622;1872;376;55;626468
2012;50191;52609;55343;55759;48042;44208;43107;41360;40836;39008;35146;29909;24665;19570;16124;13101;9306;4850;2020;405;61;625620
2013;48977;51232;54037;55033;47967;43891;43157;41497;40616;39310;35811;30779;25359;20244;16099;13201;9409;5208;2126;478;67;624498
2014;47705;49838;52741;54066;47893;43628;43129;41717;40419;39512;36406;31623;26106;20941;16248;13235;9517;5517;2195;581;76;623093
2015;46314;48394;51507;52910;47796;43371;43075;41964;40316;39597;36940;32428;26907;21649;16574;13236;9412;5844;2371;705;91;621401
2016;44742;46988;50274;51643;47619;43193;42979;42277;40329;39606;37379;33189;27786;22359;17034;13252;9520;5933;2559;789;106;619556
2017;42787;45505;49019;50360;47283;43098;42873;42595;40471;39561;37760;33916;28667;23082;17635;13296;9593;6012;2737;880;121;617251
2018;35369;41457;46901;48380;44105;40208;39494;40602;37141;36676;35714;32344;27542;22014;17029;13555;9779;5552;2056;542;154;576614
