Año; 0 A 4 Años; 5 A 9 Años; 10 A 14 Años; 15 A 19 Años; 20 A 24 Años; 25 A 29 Años; 30 A 34 Años; 35 A 39 Años; 40 A 44 Años; 45 A 49 Años; 50 A 54 Años; 55 A 59 Años; 60 A 64 Años; 65 A 69 Años; 70 A 74 Años; 75 A 79 Años; 80 A 84 Años; 85 A 89 Años; 90 A 94 Años; 95 A 99 Años; 100 o mas Años;Total
2005;122715;127130;127091;118900;101949;90820;84260;82808;76487;67356;56747;47724;38708;36152;28645;21681;12006;6149;1959;425;81;1249793
2006;119433;124792;126026;118639;101524;90616;84034;82513;77424;68860;58353;49029;39414;35832;29477;22181;12405;6352;2015;414;78;1249411
2007;116280;122247;124728;118330;101129;90306;84052;81939;78246;70221;60022;50262;40551;35317;30124;22763;12817;6659;2064;420;72;1248549
2008;113272;119590;123124;117961;100737;89946;84242;81263;78883;71467;61688;51495;41944;34878;30483;23040;13756;6829;2221;424;63;1247306
2009;110411;116893;121211;117445;100391;89580;84494;80722;79247;72583;63314;52821;43357;34803;30620;23406;14668;6905;2369;452;64;1245756
2010;107671;114202;119035;116723;100017;89292;84699;80450;79318;73582;64828;54282;44691;35196;30561;23098;15721;7240;2717;503;72;1243898
2011;105234;111352;116594;115779;99615;88969;84861;80402;79158;74413;66241;55837;45988;35951;30394;23594;16034;7606;2907;553;81;1241563
2012;102809;108512;114048;114532;99220;88577;84911;80594;78797;75107;67523;57437;47253;37044;30161;23961;16361;7995;3131;595;89;1238657
2013;100338;105679;111475;112913;98889;88109;84888;80965;78352;75626;68708;59006;48552;38310;30053;24142;16524;8615;3289;707;96;1235236
2014;97737;102822;108965;110901;98544;87622;84754;81469;78011;75929;69763;60539;49926;39604;30261;24187;16718;9150;3430;836;109;1231277
2015;94891;99885;106554;108648;98128;87053;84610;81987;77918;76036;70666;61982;51396;40920;30795;24148;16546;9748;3691;1058;129;1226789
2016;91685;97040;104105;106280;97615;86557;84401;82573;78086;76046;71395;63369;52954;42248;31590;24108;16758;9927;3995;1197;150;1222079
2017;87672;94047;101639;103963;96818;86217;84134;83129;78559;75963;72024;64637;54559;43597;32610;24121;16891;10079;4322;1350;168;1216499
2018;72558;84414;96448;101274;90373;79783;77219;79316;72665;70591;68116;61623;52264;41885;31428;24694;17077;9473;3373;846;278;1135698
